D31	256
G35	252
A21	252
I1	247
K4	243
A9	242
G21	240
T19	239
U19	233
A50	233
P8H	231
F12	230
V17	229
D55	228
E15	227
V24	223
F42	221
O29V	217
T18	217
S19	213
T34	213
A7	213
V49A	213
S3	211
S20	210
I6	210
W23	210
O31	206
M20	205
M30	204
S40	202
D34	197
M40	194
V26	193
F25	190
A47	190
U9	184
D20	181
O35	180
A42	179
M14	178
U40	176
A6	176
F29	175
V15	172
T11	171
E17	168
Q6	167
I3	167
Y1V	166
X3A	165
U35	163
D39	160
T33	160
A41	158
V33	157
A55	156
M24	155
Z1A	155
U22	154
O3	152
B7	150
W15	148
D35A	148
F36	148
T20	148
O70	147
F10	146
M43	145
U21	144
F1	144
T33A	143
R13	142
T31	140
O44	140
K5	140
M26	138
F28	136
F37B	134
F51D	133
W2	133
T35	132
M33	132
E21	132
U10	131
M33B	130
A52	128
N6	127
O26	125
V2	124
N24	123
F44	123
S27	123
C11	122
N34	122
O36	121
I14	119
U17	118
E8	118
D42	117
F5	117
X3	116
M15	116
A12	114
F16	113
D3A	113
R7	112
N12	111
O11	110
Z12	109
U31	108
T8	106
W4	106
O10	105
O21	105
Z2A	104
D43	104
A36C	103
T25	102
S36	99
A35	99
N46	99
D14	99
N122	98
V19	98
G9	97
M44	97
K3	97
Q7A	96
F63	94
O48	94
D32	94
D9	93
G26B	92
G30	91
O24	89
G20	88
U26	87
O2	86
N4	85
G175	85
N2	84
S32	82
O9	82
V10	81
A7A	81
R12	81
C10A	79
S33	79
Y4	78
U39	78
D33	76
G4A	76
Z2B	76
I5	76
A5A	76
U3	75
F24	75
P4	75
R5	75
W1	74
M7	73
G29A	72
A17A	71
Q2	70
V49	70
N21A	69
A48	69
C7	69
G26	67
R22	67
W60	66
U24	65
D27	62
F37	62
G16	61
O51	61
N9	61
M42	60
X5	59
R118	59
V16	59
O16C	59
T22A	58
D57	58
O7	57
S23	57
D15	57
O45	56
H5	56
F9	56
E20	55
K2	55
H6A	54
N37A	53
R50	53
P30	52
N20	51
E31	50
M39	50
U29	49
I64	49
V11	49
G192	48
F37F	48
D61	48
A4	47
T10	47
T9	47
T5	47
Z8	47
A14	47
D29	46
O38	46
D5	46
U4	46
O36C	46
S14	46
R19	45
M35	45
U39I	44
G7B	44
F23	44
S123	44
T32	43
M12B	43
F45	43
M34	42
N10	42
D13	42
I5A	42
B39	41
N19	41
R18	41
V36	40
A20	40
A21A	40
N13	40
W12	39
M37	39
T15	39
D10	39
O12	37
B2	37
O23	37
A23	37
P11	36
W16	36
C10	36
G23	36
U116	36
S37	35
F46A	35
F47	35
M27	35
A12A	35
A63A	35
W21	34
S1	34
O8	34
D25	34
N38	33
A42B	33
W17D	33
V23A	33
O32A	33
G8	32
D7	32
D207	32
U34	32
S115	32
Z30	32
B1F	31
A42A	31
A49	31
P7	31
M11	31
W78A	31
E16	31
Z109	31
F17	31
G3	30
B1K	30
X7	30
R9	30
G131	30
G2	29
M19	29
T7	29
H2	29
M104	29
K6	28
O338	28
V20H	28
D49	28
V23	27
G32	27
B3	27
N3	27
U25	27
M28	27
G21B	27
V46	27
V37	26
E16A	26
W17A	26
A16	25
O17	25
P10	25
A25	25
V28C	25
D63	24
V32	24
U20	24
G131B	24
O90A	24
N30	24
O40	24
A13	24
B1A	24
O23P	23
S39	23
M187	23
N104	23
G49	23
U23B	23
H38	23
Q19	22
T26	22
O38A	22
R2	22
S2	22
G24	22
T17	21
P3	21
S22	21
S15	21
E11	21
A11	21
W30	21
X4F	21
S26	21
F81	21
G27	21
P1A	21
F63A	21
T30A	21
O37	21
A13A	21
U104	21
I9A	21
Z107	20
V5	20
D17	20
R10	20
F37A	20
R24	20
F39A	20
F37J	20
S116	20
L6	20
A109	20
A59	20
F19	20
A4A	19
V9	19
W84	19
W7	19
T13	19
S12A	19
M9	19
T102	19
T80A	19
T29C	19
S13	18
I8	18
S9	18
G106	18
G6	18
E10	18
M41	18
W59	18
E145A	18
E12	18
D38	17
G51	17
E143	17
R25	17
Q5	17
D152	17
V38	17
A8	16
A54	16
A33E	16
E6A	16
O23F	16
G42	16
A43B	16
N3B	16
R1	16
T1	16
G15	16
I7	16
V27	16
G191	16
W77	16
A183	16
F33	16
D32D	16
D313	16
U37	16
E18	16
U30A	15
T11B	15
A40E	15
F7C	15
A40B	15
Y8	15
E28	15
N30A	15
W15A	15
O53	15
M5	15
N22	15
V35	15
R17	15
I13	15
G141	15
S4	15
D24	15
F6	15
F7	15
A33	15
W121	15
D265	15
D44	14
Y2V	14
W20	14
Y6	14
A10	14
S114	14
U19A	14
T19B	14
O5	14
X6A	14
A22	14
B4	14
Y3C	14
T23	13
O23T	13
S35	13
W69	13
A119	13
O84	13
I119	13
V97	13
G26A	13
O47	13
G22	13
D34S	13
T24	13
A44	13
G50	13
F48	12
E8A	12
M159	12
R1C	12
O175B	12
N64	12
W10B	12
D154B	12
R20	12
A38	12
H4	12
A43	12
U43	12
E7	12
X4E	12
I80A	12
V28A	12
G18	11
F49	11
U27	11
O422	11
D251	11
U7A	11
X4A	11
P17	11
S25	11
W38	11
M155	11
G279	11
G31	11
A73	11
F8	11
H3	11
N35B	11
M32	11
S8	11
A199A	11
M3E	11
F41	11
D54A	11
A50B	11
O25	10
F143A	10
C2	10
E3	10
M156	10
O48A	10
V36G	10
G44	10
O15	10
O43	10
V205	10
N39	10
Y24	10
H17	10
M43A	10
A18	10
D384	10
I14C	10
T19A	10
N90	10
M8E	10
O32	10
A37	10
V16A	10
A32	10
NU16	10
P26	10
N7	9
M109	9
N56	9
U32B	9
W54	9
A35E	9
C175	9
W65	9
D82	9
O13	9
U8	9
D212A	9
O30	9
R10D	9
P2A	9
V84	9
R15A	9
Z115	9
K4A	9
Z22	9
S125	9
A311	9
S44A	9
B1G	8
G21A	8
O30U	8
A4C	8
I4	8
D154	8
S152A	8
W33	8
M38	8
S45	8
D192	8
F42B	8
A14A	8
N31A	8
A48A	8
O42B	8
M8J	8
A50A	8
E311	8
I86H	8
